id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,num_reviews,num_published_lectures,published_year,published_month,full_price,discount_pct,has_discount,dormancy_score,dormancy_status,job_class,price_tier
2355488,Project Management Fundamentals,True,7346,4.52863,4.51829,2940,32,2020,3,6400.0,92.9,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2674440,Start Improving Customer Service,True,8633,4.304,4.33751,1983,31,2019,12,1280.0,64.5,True,0,Active,JC-3 Basic,Budget (<₹2K)
2355482,Inspirational Leadership Skills,True,5228,4.62603,4.65299,1866,51,2020,2,7040.0,93.5,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2562342,"Diversity, Equity, and Inclusion: A Beginner’s Guide",True,4450,4.47154,4.47955,1596,18,2019,9,1920.0,76.3,True,0,Active,JC-3 Basic,Budget (<₹2K)
2927654,Working from Home Effectively,True,2726,4.53774,4.51579,1389,32,2020,4,5760.0,92.1,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2864860,Microsoft Certified: Data Analyst Associate with Power BI,True,31855,4.41959,4.37283,1372,141,2020,5,8640.0,94.7,True,0,Active,JC-2 Standard,Standard (₹5K-9K)
2752048,Data Warehouse Fundamentals for Beginners,True,5839,4.42042,4.46669,1249,68,2020,3,2880.0,84.2,True,0,Active,JC-3 Basic,Mid (₹2K-5K)
2554557,Advanced SQL + MySQL for Analytics & Business Intelligence,True,17807,4.68819,4.69866,1049,104,2019,10,8640.0,94.7,True,0,Active,JC-2 Standard,Standard (₹5K-9K)
3208141,Ally Up: Using allyship to advance diversity & inclusion,True,2306,4.54493,4.56055,1040,22,2020,6,12800.0,0.0,False,0,Active,JC-3 Basic,Premium (₹9K-13K)
2615622,Mastering Conflict Management and Resolution at Work,True,2861,4.41988,4.41539,1029,19,2019,10,12160.0,0.0,False,0,Active,JC-3 Basic,Premium (₹9K-13K)
2490968,Digital Oil and Gas,True,1326,4.29839,4.29874,908,86,2019,12,2560.0,0.0,False,0,Active,JC-3 Basic,Mid (₹2K-5K)
2529926,Become a Mortgage Loan Processor,True,3048,4.29435,4.30831,879,92,2019,9,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2441460,PMI-PMP-Project Management Professional - 35 Contact Hours,True,2910,4.41991,4.39563,848,280,2019,12,8960.0,94.6,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2653276,Being Strategic: Thinking and Acting with Impact,True,2318,4.50671,4.52518,819,12,2019,11,8640.0,72.2,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2567312,Time Series Analysis in Python 2020,True,5129,4.50502,4.53022,803,97,2019,9,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2795664,Microsoft Power BI: Latest 2020 Beginner to Expert Modules,True,54597,3.85417,3.81926,792,81,2020,2,8640.0,94.7,True,0,Active,JC-2 Standard,Standard (₹5K-9K)
3090870,Management Consulting Essential Training,True,32942,4.57803,4.58957,788,133,2020,5,8640.0,94.7,True,0,Active,JC-2 Standard,Standard (₹5K-9K)
2626524,Exam Prep: CFA® Level 1 Bootcamp 2020 Curriculum (Part 1/2),True,5998,4.57831,4.57363,770,373,2019,10,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2623876,Embracing a Culture of Feedback,True,2119,4.41809,4.44064,754,30,2019,11,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2503124,PMP: The Complete PMP Course & Practice Exam PMI PMBOK 6 '20,True,5166,4.325,4.36966,721,160,2019,12,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2676528,Root Cause Analysis and the 8D Corrective Action Process,True,2592,4.43134,4.49099,713,73,2019,12,4800.0,90.5,True,0,Active,JC-3 Basic,Mid (₹2K-5K)
3116626,Management Consulting Skills Mastery,True,30876,4.47564,4.51053,642,142,2020,5,8640.0,94.7,True,0,Active,JC-2 Standard,Standard (₹5K-9K)
2971372,Tableau Crash Course: Build and Share a COVID-19 Dashboard,True,24185,4.42466,4.49823,634,25,2020,4,1280.0,64.5,True,0,Active,JC-2 Standard,Budget (<₹2K)
3148846,Introduction to Business Analytics 2020,True,3619,4.43289,4.43663,624,55,2020,5,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2302640,Data Science & Deep Learning for Business™ 20 Case Studies,True,6197,4.37383,4.30544,589,187,2019,11,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
3149922,The Internet of Things (IoT): 2020 Trends and the Future,True,30571,3.71309,3.72323,575,6,2020,5,1280.0,64.5,True,0,Active,JC-2 Standard,Budget (<₹2K)
2810839,Intro to Project Management with PRINCE2 and PRINCE2 Agile,True,10527,4.44444,4.44455,531,15,2020,4,3200.0,85.8,True,0,Active,JC-2 Standard,Mid (₹2K-5K)
2703840,Tableau 2020 Certified Associate Exam Guide A-Z (w Datasets),True,3388,4.62903,4.61362,512,272,2020,1,12800.0,0.0,False,0,Active,JC-3 Basic,Premium (₹9K-13K)
2271516,Dual Certification: Lean Six Sigma White Belt & Yellow Belt,True,1903,4.24609,4.1978,502,113,2019,11,2560.0,82.2,True,0,Active,JC-3 Basic,Mid (₹2K-5K)
2682696,The Business Analysis Certification Program (IIBA - ECBA),True,2262,4.22148,4.08387,480,372,2019,12,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
2643050,Customer Analytics in Python 2020,True,8490,4.61034,4.66495,479,77,2019,11,8640.0,94.7,True,0,Active,JC-3 Basic,Standard (₹5K-9K)
