id,title,url,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,created,published_time,discount_price__amount,discount_price__currency,discount_price__price_string,price_detail__amount,price_detail__currency,price_detail__price_string
55382,Real Estate Basics: Creative Non-bank Financing And More,/course/learn-how-to-buy-houses-with-creative-financing/,True,86,1.8,2.17141,2.17141,5,False,5,0,2013-05-20T21:28:29Z,2013-06-04T00:08:17Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
57604,Create That EBook,/course/create-that-ebook/,True,659,4.25,4.47238,4.47238,16,False,24,0,2013-06-01T02:28:57Z,2013-06-01T14:50:41Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
74696,Not Later. Write Now,/course/not-later-write-now/,True,143,4.6,4.53135,4.53135,14,False,8,0,2013-08-06T21:46:06Z,2013-08-14T17:03:12Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
78452,The special recipe to supercharge your sales conversations,/course/secretrecipetosuperchargeyoursalesconversations/,True,66,4.28571,4.34898,4.34898,7,False,8,0,2013-08-14T07:56:01Z,2014-11-04T01:36:10Z,455.0,INR,₹455,2880.0,INR,"₹2,880"
87140,Get Tons of Ideal Clients Now,/course/idealclientsnow/,True,124,4.75,4.7272,4.7272,13,False,8,0,2013-09-02T15:08:54Z,2013-09-02T21:57:57Z,455.0,INR,₹455,1920.0,INR,"₹1,920"
108274,"Kindle Complete Course: Book Writing, Publishing, Marketing",/course/kindle-complete-course-book-writing-publishing-marketing/,True,2188,3.6,3.75824,3.75824,14,False,54,0,2013-10-20T17:17:33Z,2013-10-26T16:00:22Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
122812,How To Start A Mug Printing Business From Home,/course/how-to-start-a-mug-printing-business-for-fun-and-profit/,True,1136,4.79167,4.79264,4.79264,254,False,8,0,2013-11-20T10:29:26Z,2014-02-17T13:57:58Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
176758,Entrepreneurship: How To Start A Business From Business Idea,/course/how-to-start-a-business-go-from-business-idea-to-a-business/,True,26916,4.53448,4.51737,4.51737,872,False,111,0,2014-03-04T17:23:51Z,2014-03-18T13:37:58Z,455.0,INR,₹455,3200.0,INR,"₹3,200"
196650,How to Pimp Your Freelancing Profile,/course/how-to-pimp-your-odesk-profile/,True,824,4.5,4.69529,4.69529,14,False,17,0,2014-04-10T00:25:21Z,2014-05-27T23:06:36Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
213970,Excel: Basic Excel and Business Analytics,/course/excel-and-business-analytics_1/,True,663,4.25,4.36681,4.36681,134,False,27,0,2014-05-09T16:03:52Z,2014-06-10T15:08:05Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
250398,List Building: Recurring Income By Mastering List Building,/course/a-z-list-building-profits-blueprint/,True,5683,4.05,3.31787,3.31787,15,False,12,0,2014-06-25T20:26:25Z,2014-07-13T19:13:08Z,455.0,INR,₹455,5760.0,INR,"₹5,760"
296129,Real Estate Investing:            Cash Flow Analysis - 101,/course/cash-flowing-real-estate-a-b-and-cs/,True,172,3.58333,3.2859,3.2859,6,False,13,0,2014-09-08T04:27:16Z,2014-12-08T19:20:42Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
318018,WRB دورة تقنيات استخدام شموع,/course/wrb-candles/,True,5,3.0,3.0,3.0,1,False,17,0,2014-10-12T00:26:34Z,2018-12-19T00:19:46Z,455.0,INR,₹455,3200.0,INR,"₹3,200"
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,/course/trading-stocks-successfully-introduction-to-stock-trading/,True,14258,4.60714,4.66057,4.66057,206,False,79,0,2014-10-23T17:39:43Z,2014-10-24T18:13:49Z,474.0,INR,₹474,8960.0,INR,"₹8,960"
337320,Master Cash Flow Valuation - Financial Literacy in Excel,/course/financial-literacy-basics/,True,4678,4.05,4.20274,4.20274,49,False,22,0,2014-11-06T08:20:13Z,2014-12-22T13:39:16Z,455.0,INR,₹455,8000.0,INR,"₹8,000"
338480,Public Speaking: C-Level Executive Public Speaking Skills,/course/public-speaking-for-c-level-executives/,True,2647,4.4,4.39356,4.39356,31,False,24,0,2014-11-07T14:11:55Z,2014-11-07T16:40:04Z,455.0,INR,₹455,8640.0,INR,"₹8,640"
347326,Sage Online - One Accounts Extra,/course/sage-one-accounts-extra/,True,205,3.65,3.61897,3.61897,46,False,44,0,2014-11-17T13:18:20Z,2015-07-07T22:34:13Z,455.0,INR,₹455,2240.0,INR,"₹2,240"
358062,Financial Modeling: Build a Complete DCF Valuation Model,/course/learn-how-to-value-a-company-and-build-a-dcf-model/,True,16888,4.41029,4.42242,4.42242,2792,False,76,0,2014-11-27T21:16:11Z,2014-12-03T21:41:25Z,455.0,INR,₹455,6080.0,INR,"₹6,080"
369726,Cómo ganar dinero invirtiendo en bolsa,/course/como-ganar-dinero-invirtiendo-en-bolsa/,True,12493,4.23529,4.12235,4.12235,1137,False,8,0,2014-12-13T19:51:24Z,2016-04-02T01:46:55Z,455.0,INR,₹455,1600.0,INR,"₹1,600"
422918,Essentials of Finance and Investment in 2 hours,/course/finance-hien-minh-luu/,True,1437,3.5,3.57326,3.57326,18,False,14,0,2015-02-16T02:19:45Z,2015-06-01T21:48:13Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
445920,Introduction To Audacity Audio Software,/course/introduction-to-audacity-audio-software/,True,1959,4.05,3.98926,3.98926,63,False,16,0,2015-03-12T17:02:59Z,2015-04-23T18:48:40Z,455.0,INR,₹455,1280.0,INR,"₹1,280"
455582,Hospitality Property Organizational Structure - Updated 2020,/course/hospitality-property-organizational-structure/,True,70,4.27778,4.323,4.323,9,False,9,0,2015-03-24T10:19:58Z,2015-05-07T21:34:18Z,455.0,INR,₹455,3200.0,INR,"₹3,200"
